row_id,handle,id,text,created_at,likes,retweets,url,text_nepali_only,is_valid_nepali_only,word_count,sentiment,tweet_id,sentence_text,sentence_index
0,ShahBalen,2079489463831650494,निजी शिक्षा र स्वास्थ्य क्षेत्रमा लगाइएको ३% समता कर अहिले भने बमोजिम नै कार्यान्वयन गर्दा आममानिसले थप खर्च र निराशा भोग्नु पर्ने देखियो यसैले माननीय अर्थमन्त्री स्वर्णिम वाग्लेसँगको परामर्शपछि हालका लागि शिक्षा समता शुल्क र स्वास्थ्य समता शुल्क लागू नगर्ने निर्णय गरिएको छ । https://t.co/S3eBgk0SlF,Tue Jul 21 08:51:37 +0000 2026,1832,229,https://x.com/ShahBalen/status/2079489463831650494,निजी शिक्षा र स्वास्थ्य क्षेत्रमा लगाइएको ३ समता कर अहिले भने बमोजिम नै कार्यान्वयन गर्दा आममानिसले थप खर्च र निराशा भोग्नु पर्ने देखियो यसैले माननीय अर्थमन्त्री स्वर्णिम वाग्लेसँगको परामर्शपछि हालका लागि शिक्षा समता शुल्क र स्वास्थ्य समता शुल्क लागू नगर्ने निर्णय गरिएको छ ।,True,44,positive,2079489463831650494,निजी शिक्षा र स्वास्थ्य क्षेत्रमा लगाइएको ३ समता कर अहिले भने बमोजिम नै कार्यान्वयन गर्दा आममानिसले थप खर्च र निराशा भोग्नु पर्ने देखियो यसैले माननीय अर्थमन्त्री स्वर्णिम वाग्लेसँगको परामर्शपछि हालका लागि शिक्षा समता शुल्क र स्वास्थ्य समता शुल्क लागू नगर्ने निर्णय गरिएको छ ।,0
1,ShahBalen,2055948372129771914,"World record 32 times Mount Everest climb.
विश्वको सर्वोच्च शिखर सगरमाथा केवल एउटा भौगोलिक उचाइको अवयव मात्रै होइन, नेपालको आत्मसम्मान, साहस, धैर्य र हिमाली सभ्यताको सर्वोच्च प्रतीक हो। यही गौरवशाली हिमालमाथि आज नेपाली आरोहीहरूले पुनः इतिहास लेखेका छन्।

विश्वविख्यात आरोही कामी https://t.co/y6zVcj39X9",Sun May 17 09:47:44 +0000 2026,3257,367,https://x.com/ShahBalen/status/2055948372129771914,विश्वको सर्वोच्च शिखर सगरमाथा केवल एउटा भौगोलिक उचाइको अवयव मात्रै होइन नेपालको आत्मसम्मान साहस धैर्य र हिमाली सभ्यताको सर्वोच्च प्रतीक हो। यही गौरवशाली हिमालमाथि आज नेपाली आरोहीहरूले पुनः इतिहास लेखेका छन्। विश्वविख्यात आरोही कामी,True,34,positive,2055948372129771914,विश्वको सर्वोच्च शिखर सगरमाथा केवल एउटा भौगोलिक उचाइको अवयव मात्रै होइन नेपालको आत्मसम्मान साहस धैर्य र हिमाली सभ्यताको सर्वोच्च प्रतीक हो।,0
2,ShahBalen,2055948372129771914,"World record 32 times Mount Everest climb.
विश्वको सर्वोच्च शिखर सगरमाथा केवल एउटा भौगोलिक उचाइको अवयव मात्रै होइन, नेपालको आत्मसम्मान, साहस, धैर्य र हिमाली सभ्यताको सर्वोच्च प्रतीक हो। यही गौरवशाली हिमालमाथि आज नेपाली आरोहीहरूले पुनः इतिहास लेखेका छन्।

विश्वविख्यात आरोही कामी https://t.co/y6zVcj39X9",Sun May 17 09:47:44 +0000 2026,3257,367,https://x.com/ShahBalen/status/2055948372129771914,विश्वको सर्वोच्च शिखर सगरमाथा केवल एउटा भौगोलिक उचाइको अवयव मात्रै होइन नेपालको आत्मसम्मान साहस धैर्य र हिमाली सभ्यताको सर्वोच्च प्रतीक हो। यही गौरवशाली हिमालमाथि आज नेपाली आरोहीहरूले पुनः इतिहास लेखेका छन्। विश्वविख्यात आरोही कामी,True,34,positive,2055948372129771914,यही गौरवशाली हिमालमाथि आज नेपाली आरोहीहरूले पुनः इतिहास लेखेका छन्।,1
4,ShahBalen,2051506575588852104,"धेरै पत्रकार, नेता, अभियन्ता, व्यापारी र आम जनताले वर्षौंदेखि एउटै कुरा भन्दै आएका छन्“विद्यार्थी र कर्मचारीतन्त्रलाई पार्टीकरणले बिगार्‍यो।” वर्षौंदेखि धेरै संगठन विद्यार्थी र कर्मचारीको हितभन्दा बढी दलका “स्लिपर सेल” बने।योग्यता भन्दा पहुँच, क्षमता भन्दा झोला र झण्डाको मूल्य",Tue May 05 03:37:37 +0000 2026,3432,621,https://x.com/ShahBalen/status/2051506575588852104,धेरै पत्रकार नेता अभियन्ता व्यापारी र आम जनताले वर्षौंदेखि एउटै कुरा भन्दै आएका छन् विद्यार्थी र कर्मचारीतन्त्रलाई पार्टीकरणले बिगार् यो। वर्षौंदेखि धेरै संगठन विद्यार्थी र कर्मचारीको हितभन्दा बढी दलका स्लिपर सेल बने।योग्यता भन्दा पहुँच क्षमता भन्दा झोला र झण्डाको मूल्य,True,40,negative,2051506575588852104,धेरै पत्रकार नेता अभियन्ता व्यापारी र आम जनताले वर्षौंदेखि एउटै कुरा भन्दै आएका छन् विद्यार्थी र कर्मचारीतन्त्रलाई पार्टीकरणले बिगार् यो।,0
5,ShahBalen,2051506575588852104,"धेरै पत्रकार, नेता, अभियन्ता, व्यापारी र आम जनताले वर्षौंदेखि एउटै कुरा भन्दै आएका छन्“विद्यार्थी र कर्मचारीतन्त्रलाई पार्टीकरणले बिगार्‍यो।” वर्षौंदेखि धेरै संगठन विद्यार्थी र कर्मचारीको हितभन्दा बढी दलका “स्लिपर सेल” बने।योग्यता भन्दा पहुँच, क्षमता भन्दा झोला र झण्डाको मूल्य",Tue May 05 03:37:37 +0000 2026,3432,621,https://x.com/ShahBalen/status/2051506575588852104,धेरै पत्रकार नेता अभियन्ता व्यापारी र आम जनताले वर्षौंदेखि एउटै कुरा भन्दै आएका छन् विद्यार्थी र कर्मचारीतन्त्रलाई पार्टीकरणले बिगार् यो। वर्षौंदेखि धेरै संगठन विद्यार्थी र कर्मचारीको हितभन्दा बढी दलका स्लिपर सेल बने।योग्यता भन्दा पहुँच क्षमता भन्दा झोला र झण्डाको मूल्य,True,40,,2051506575588852104,वर्षौंदेखि धेरै संगठन विद्यार्थी र कर्मचारीको हितभन्दा बढी दलका स्लिपर सेल बने।योग्यता भन्दा पहुँच क्षमता भन्दा झोला र झण्डाको मूल्य,1
6,ShahBalen,2051143466277818515,काठमाडौँ उपत्यकाका नदीकिनार तथा सरकारी स्वामित्वमा रहेका जग्गामा अवाञ्छित रूपमा अतिक्रमण भएको स्पष्ट भएका क्षेत्रहरूमा नेपाल सरकारले कानुनबमोजिम अघि बढाएको व्यवस्थापन प्रक्रियाका विषयमा विभिन्न टिप्पणी तथा व्याख्या सार्वजनिक भइरहेका प्रति सरकारको ध्यानाकर्षण भएको छ। उक्त,Mon May 04 03:34:45 +0000 2026,2779,445,https://x.com/ShahBalen/status/2051143466277818515,काठमाडौँ उपत्यकाका नदीकिनार तथा सरकारी स्वामित्वमा रहेका जग्गामा अवाञ्छित रूपमा अतिक्रमण भएको स्पष्ट भएका क्षेत्रहरूमा नेपाल सरकारले कानुनबमोजिम अघि बढाएको व्यवस्थापन प्रक्रियाका विषयमा विभिन्न टिप्पणी तथा व्याख्या सार्वजनिक भइरहेका प्रति सरकारको ध्यानाकर्षण भएको छ। उक्त,True,35,,2051143466277818515,काठमाडौँ उपत्यकाका नदीकिनार तथा सरकारी स्वामित्वमा रहेका जग्गामा अवाञ्छित रूपमा अतिक्रमण भएको स्पष्ट भएका क्षेत्रहरूमा नेपाल सरकारले कानुनबमोजिम अघि बढाएको व्यवस्थापन प्रक्रियाका विषयमा विभिन्न टिप्पणी तथा व्याख्या सार्वजनिक भइरहेका प्रति सरकारको ध्यानाकर्षण भएको छ।,0
8,ShahBalen,2050070598173548852,"बुद्धले भन्नुभयो “दुःख छ, दुःखको कारण छ, दुःखको निवारण छ, दुःख निवारण गर्ने मार्ग छ।”
बुद्धले देखाउनुभएको बाटो दुःख निवारणको बाटो हो। उज्यालोको अभाव नै अँध्यारो हो; जतिबेला उज्यालोको किरणले पाइला टेक्छ, अँध्यारो स्वतः बिलाएर जान्छ। हाम्रो यात्रा त्यस्तै ज्ञानको उज्यालोको खोजमा https://t.co/vvwrHJNgUr",Fri May 01 04:31:33 +0000 2026,4632,619,https://x.com/ShahBalen/status/2050070598173548852,बुद्धले भन्नुभयो दुःख छ दुःखको कारण छ दुःखको निवारण छ दुःख निवारण गर्ने मार्ग छ। बुद्धले देखाउनुभएको बाटो दुःख निवारणको बाटो हो। उज्यालोको अभाव नै अँध्यारो हो जतिबेला उज्यालोको किरणले पाइला टेक्छ अँध्यारो स्वतः बिलाएर जान्छ। हाम्रो यात्रा त्यस्तै ज्ञानको उज्यालोको खोजमा,True,42,,2050070598173548852,बुद्धले भन्नुभयो दुःख छ दुःखको कारण छ दुःखको निवारण छ दुःख निवारण गर्ने मार्ग छ।,0
9,ShahBalen,2050070598173548852,"बुद्धले भन्नुभयो “दुःख छ, दुःखको कारण छ, दुःखको निवारण छ, दुःख निवारण गर्ने मार्ग छ।”
बुद्धले देखाउनुभएको बाटो दुःख निवारणको बाटो हो। उज्यालोको अभाव नै अँध्यारो हो; जतिबेला उज्यालोको किरणले पाइला टेक्छ, अँध्यारो स्वतः बिलाएर जान्छ। हाम्रो यात्रा त्यस्तै ज्ञानको उज्यालोको खोजमा https://t.co/vvwrHJNgUr",Fri May 01 04:31:33 +0000 2026,4632,619,https://x.com/ShahBalen/status/2050070598173548852,बुद्धले भन्नुभयो दुःख छ दुःखको कारण छ दुःखको निवारण छ दुःख निवारण गर्ने मार्ग छ। बुद्धले देखाउनुभएको बाटो दुःख निवारणको बाटो हो। उज्यालोको अभाव नै अँध्यारो हो जतिबेला उज्यालोको किरणले पाइला टेक्छ अँध्यारो स्वतः बिलाएर जान्छ। हाम्रो यात्रा त्यस्तै ज्ञानको उज्यालोको खोजमा,True,42,,2050070598173548852,बुद्धले देखाउनुभएको बाटो दुःख निवारणको बाटो हो।,1
10,ShahBalen,2050070598173548852,"बुद्धले भन्नुभयो “दुःख छ, दुःखको कारण छ, दुःखको निवारण छ, दुःख निवारण गर्ने मार्ग छ।”
बुद्धले देखाउनुभएको बाटो दुःख निवारणको बाटो हो। उज्यालोको अभाव नै अँध्यारो हो; जतिबेला उज्यालोको किरणले पाइला टेक्छ, अँध्यारो स्वतः बिलाएर जान्छ। हाम्रो यात्रा त्यस्तै ज्ञानको उज्यालोको खोजमा https://t.co/vvwrHJNgUr",Fri May 01 04:31:33 +0000 2026,4632,619,https://x.com/ShahBalen/status/2050070598173548852,बुद्धले भन्नुभयो दुःख छ दुःखको कारण छ दुःखको निवारण छ दुःख निवारण गर्ने मार्ग छ। बुद्धले देखाउनुभएको बाटो दुःख निवारणको बाटो हो। उज्यालोको अभाव नै अँध्यारो हो जतिबेला उज्यालोको किरणले पाइला टेक्छ अँध्यारो स्वतः बिलाएर जान्छ। हाम्रो यात्रा त्यस्तै ज्ञानको उज्यालोको खोजमा,True,42,,2050070598173548852,उज्यालोको अभाव नै अँध्यारो हो जतिबेला उज्यालोको किरणले पाइला टेक्छ अँध्यारो स्वतः बिलाएर जान्छ।,2
11,ShahBalen,2050070598173548852,"बुद्धले भन्नुभयो “दुःख छ, दुःखको कारण छ, दुःखको निवारण छ, दुःख निवारण गर्ने मार्ग छ।”
बुद्धले देखाउनुभएको बाटो दुःख निवारणको बाटो हो। उज्यालोको अभाव नै अँध्यारो हो; जतिबेला उज्यालोको किरणले पाइला टेक्छ, अँध्यारो स्वतः बिलाएर जान्छ। हाम्रो यात्रा त्यस्तै ज्ञानको उज्यालोको खोजमा https://t.co/vvwrHJNgUr",Fri May 01 04:31:33 +0000 2026,4632,619,https://x.com/ShahBalen/status/2050070598173548852,बुद्धले भन्नुभयो दुःख छ दुःखको कारण छ दुःखको निवारण छ दुःख निवारण गर्ने मार्ग छ। बुद्धले देखाउनुभएको बाटो दुःख निवारणको बाटो हो। उज्यालोको अभाव नै अँध्यारो हो जतिबेला उज्यालोको किरणले पाइला टेक्छ अँध्यारो स्वतः बिलाएर जान्छ। हाम्रो यात्रा त्यस्तै ज्ञानको उज्यालोको खोजमा,True,42,,2050070598173548852,हाम्रो यात्रा त्यस्तै ज्ञानको उज्यालोको खोजमा,3
